"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Tackles","","Tackles for Loss","","","Sacks","","","","Pass Breakups","Forced Fumbles","QB Hurries","Blocked Kicks"
"","","","","","","Unassisted","Assisted","Unassisted","Assisted","Yards","Unassisted","Assisted","Yards","No.","No.","No.","No."
"721","Air Force","11/03/12","16","COLEMAN","DREW","1","0","","","","","","","","","",""
"721","Air Force","10/13/12","13","DECOUD","","1","0","","","","","","","","","",""
"721","Air Force","10/26/12","13","DECOUD","","1","4","","","","","","","","","",""
"721","Air Force","12/29/12","13","DECOUD","","1","0","","","","","","","","","",""
"721","Air Force","09/01/12","89","DEJULIO","NICK","3","3","1","1","2","","","","1","","",""
"721","Air Force","09/08/12","89","DEJULIO","NICK","3","1","","","","","","","","","",""
"721","Air Force","09/22/12","89","DEJULIO","NICK","1","1","","","","","","","","","",""
"721","Air Force","09/29/12","89","DEJULIO","NICK","2","3","","","","","","","","","",""
"721","Air Force","10/06/12","89","DEJULIO","NICK","1","1","","","","","","","","","",""
"721","Air Force","10/20/12","89","DEJULIO","NICK","0","1","","","","","","","","","",""
"721","Air Force","10/26/12","89","DEJULIO","NICK","2","1","2","0","10","1","0","9","1","","",""
"721","Air Force","11/03/12","89","DEJULIO","NICK","3","1","","","","","","","","","",""
"721","Air Force","11/10/12","89","DEJULIO","NICK","1","0","","","","","","","","","",""
"721","Air Force","11/16/12","89","DEJULIO","NICK","0","3","","","","","","","","","",""
"721","Air Force","11/24/12","89","DEJULIO","NICK","1","0","1","0","2","","","","","","",""
"721","Air Force","12/29/12","89","DEJULIO","NICK","3","1","","","","","","","","1","",""
"721","Air Force","11/03/12","11","DIETZ","CONNOR","1","0","","","","","","","","","",""
"721","Air Force","10/20/12","67","EASON","JORDAN","1","0","","","","","","","","","",""
"721","Air Force","09/29/12","7","FISHER","MILES","1","0","","","","","","","","","",""
"721","Air Force","09/01/12","97","FITZGERALD","NICK","1","1","","","","","","","","","",""
"721","Air Force","09/08/12","97","FITZGERALD","NICK","2","1","1","0","1","","","","1","","",""
"721","Air Force","10/06/12","97","FITZGERALD","NICK","1","3","","","","","","","","","",""
"721","Air Force","10/13/12","97","FITZGERALD","NICK","2","2","","","","","","","","","",""
"721","Air Force","10/20/12","97","FITZGERALD","NICK","4","0","2","0","14","1","0","13","","","",""
"721","Air Force","11/16/12","97","FITZGERALD","NICK","1","0","1","0","3","","","","","1","",""
"721","Air Force","11/24/12","97","FITZGERALD","NICK","1","1","","","","","","","","","",""
"721","Air Force","11/24/12","22","GANN","CHRISTIAN","0","1","","","","","","","","","",""
"721","Air Force","10/26/12","80","GRIFFIN","GARRETT","1","1","","","","","","","","","",""
"721","Air Force","11/16/12","80","GRIFFIN","GARRETT","1","0","","","","","","","","","",""
"721","Air Force","09/01/12","87","HANSEN","ALEXANDER","1","1","0","1","0","","","","","","",""
"721","Air Force","09/22/12","87","HANSEN","ALEXANDER","1","0","","","","","","","","","",""
"721","Air Force","09/29/12","87","HANSEN","ALEXANDER","3","1","1","0","6","1","0","6","","","",""
"721","Air Force","10/06/12","87","HANSEN","ALEXANDER","2","4","","","","","","","","","",""
"721","Air Force","10/13/12","87","HANSEN","ALEXANDER","2","0","1","0","2","","","","","","",""
"721","Air Force","10/20/12","87","HANSEN","ALEXANDER","1","2","0","1","2","","","","","","",""
"721","Air Force","10/26/12","87","HANSEN","ALEXANDER","3","1","1","0","2","1","0","2","","","",""
"721","Air Force","11/03/12","87","HANSEN","ALEXANDER","3","0","1","0","5","","","","","","",""
"721","Air Force","11/10/12","87","HANSEN","ALEXANDER","1","0","","","","","","","1","","",""
"721","Air Force","11/16/12","87","HANSEN","ALEXANDER","4","1","4","0","18","2","0","13","","","",""
"721","Air Force","11/24/12","87","HANSEN","ALEXANDER","2","0","","","","","","","","","",""
"721","Air Force","12/29/12","87","HANSEN","ALEXANDER","2","1","","","","","","","","","",""
"721","Air Force","09/01/12","6","HEALY","CONNOR","1","3","","","","","","","","","",""
"721","Air Force","09/08/12","6","HEALY","CONNOR","2","0","","","","","","","","","",""
"721","Air Force","09/22/12","6","HEALY","CONNOR","1","0","","","","","","","","","",""
"721","Air Force","10/06/12","6","HEALY","CONNOR","1","0","","","","","","","","","",""
"721","Air Force","11/16/12","18","HERRINGTON","PARKER","1","0","","","","","","","","","",""
"721","Air Force","10/26/12","14","HUNTSMAN","COLTON","0","1","","","","","","","","","",""
"721","Air Force","11/03/12","14","HUNTSMAN","COLTON","1","0","","","","","","","","","",""
"721","Air Force","11/24/12","14","HUNTSMAN","COLTON","1","0","","","","","","","","","",""
"721","Air Force","12/29/12","14","HUNTSMAN","COLTON","2","0","","","","","","","","","",""
"721","Air Force","11/10/12","50","IMAMURA","","1","0","","","","","","","","","",""
"721","Air Force","09/01/12","43","JONES","JARED","6","3","1","0","8","1","0","8","","","",""
"721","Air Force","09/08/12","43","JONES","JARED","1","3","","","","","","","","","",""
"721","Air Force","09/22/12","43","JONES","JARED","1","3","1","0","1","","","","","","",""
"721","Air Force","09/29/12","43","JONES","JARED","2","3","","","","","","","","","",""
"721","Air Force","10/06/12","43","JONES","JARED","1","5","0","1","0","","","","","","",""
"721","Air Force","10/13/12","43","JONES","JARED","4","1","","","","","","","1","","",""
"721","Air Force","10/20/12","43","JONES","JARED","1","3","","","","","","","","","",""
"721","Air Force","10/26/12","43","JONES","JARED","0","6","0","1","2","","","","","","",""
"721","Air Force","11/03/12","43","JONES","JARED","1","1","","","","","","","","","",""
"721","Air Force","10/20/12","8","JORDAN","CHRIS","1","0","","","","","","","","","",""
"721","Air Force","09/01/12","52","KUSAN","JOSH","2","4","0","2","2","","","","","","",""
"721","Air Force","09/08/12","52","KUSAN","JOSH","4","1","1","0","1","","","","","","",""
"721","Air Force","09/22/12","52","KUSAN","JOSH","4","1","","","","","","","","","",""
"721","Air Force","09/01/12","37","LACOSTE","ANTHONY","1","0","","","","","","","","","",""
"721","Air Force","09/08/12","37","LACOSTE","ANTHONY","1","0","","","","","","","","","",""
"721","Air Force","09/22/12","37","LACOSTE","ANTHONY","2","0","","","","","","","","","",""
"721","Air Force","09/29/12","37","LACOSTE","ANTHONY","0","2","","","","","","","","","",""
"721","Air Force","10/06/12","37","LACOSTE","ANTHONY","0","1","","","","","","","","","",""
"721","Air Force","10/13/12","37","LACOSTE","ANTHONY","0","3","","","","","","","","","",""
"721","Air Force","12/29/12","37","LACOSTE","ANTHONY","1","0","","","","","","","","","",""
"721","Air Force","09/01/12","31","LINDSAY","BRIAN","1","5","","","","","","","","","",""
"721","Air Force","09/08/12","31","LINDSAY","BRIAN","5","3","1","0","1","","","","","","",""
"721","Air Force","09/22/12","31","LINDSAY","BRIAN","6","4","","","","","","","","","",""
"721","Air Force","09/29/12","31","LINDSAY","BRIAN","2","5","0","1","2","","","","","","",""
"721","Air Force","10/06/12","31","LINDSAY","BRIAN","1","6","1","0","2","","","","","","",""
"721","Air Force","10/13/12","31","LINDSAY","BRIAN","3","2","","","","","","","","","",""
"721","Air Force","10/20/12","31","LINDSAY","BRIAN","3","3","","","","","","","","","",""
"721","Air Force","10/26/12","31","LINDSAY","BRIAN","4","3","","","","","","","","","",""
"721","Air Force","11/03/12","31","LINDSAY","BRIAN","6","3","1","0","4","","","","","","",""
"721","Air Force","11/10/12","31","LINDSAY","BRIAN","4","2","1","0","6","1","0","6","","1","",""
"721","Air Force","11/16/12","31","LINDSAY","BRIAN","2","6","0","1","5","0","1","5","","","",""
"721","Air Force","11/24/12","31","LINDSAY","BRIAN","2","2","","","","","","","1","","",""
"721","Air Force","12/29/12","31","LINDSAY","BRIAN","8","1","","","","","","","1","","",""
"721","Air Force","10/26/12","96","LUEBBE","DANA","0","1","","","","","","","","","",""
"721","Air Force","09/08/12","26","MCHENRY","GAVIN","1","0","","","","","","","","","",""
"721","Air Force","09/29/12","26","MCHENRY","GAVIN","3","0","","","","","","","","","",""
"721","Air Force","10/06/12","26","MCHENRY","GAVIN","1","1","","","","","","","","","",""
"721","Air Force","10/26/12","26","MCHENRY","GAVIN","0","2","","","","","","","","","",""
"721","Air Force","11/10/12","26","MCHENRY","GAVIN","1","0","","","","","","","","","",""
"721","Air Force","11/16/12","26","MCHENRY","GAVIN","0","1","","","","","","","","","",""
"721","Air Force","11/24/12","26","MCHENRY","GAVIN","1","0","","","","","","","","","",""
"721","Air Force","09/01/12","9","MEANS","ALEX","2","3","","","","","","","","","",""
"721","Air Force","09/08/12","9","MEANS","ALEX","5","2","1","0","8","","","","3","","",""
"721","Air Force","09/22/12","9","MEANS","ALEX","5","3","0","1","0","","","","1","","",""
"721","Air Force","09/29/12","9","MEANS","ALEX","3","3","1","1","3","","","","","","",""
"721","Air Force","10/06/12","9","MEANS","ALEX","3","7","1","0","5","","","","","","",""
"721","Air Force","10/13/12","9","MEANS","ALEX","6","3","1","0","6","","","","1","","",""
"721","Air Force","10/20/12","9","MEANS","ALEX","5","5","1","1","12","1","0","10","1","","",""
"721","Air Force","10/26/12","9","MEANS","ALEX","3","2","1","0","9","1","0","9","1","","",""
"721","Air Force","11/03/12","9","MEANS","ALEX","3","3","1","0","1","","","","","","","1"
"721","Air Force","11/10/12","9","MEANS","ALEX","5","5","1","0","1","","","","","","",""
"721","Air Force","11/16/12","9","MEANS","ALEX","4","4","0","1","0","","","","1","","",""
"721","Air Force","11/24/12","9","MEANS","ALEX","3","2","1","0","7","1","0","7","1","","",""
"721","Air Force","12/29/12","9","MEANS","ALEX","8","4","1","0","2","1","0","2","","","",""
"721","Air Force","09/01/12","3","MILLER","CHRIS","4","1","","","","","","","","","",""
"721","Air Force","09/22/12","3","MILLER","CHRIS","0","4","","","","","","","1","","",""
"721","Air Force","09/29/12","3","MILLER","CHRIS","3","1","","","","","","","","","",""
"721","Air Force","10/06/12","3","MILLER","CHRIS","0","1","","","","","","","","","",""
"721","Air Force","10/13/12","3","MILLER","CHRIS","6","0","","","","","","","1","","",""
"721","Air Force","10/20/12","3","MILLER","CHRIS","2","1","","","","","","","","","",""
"721","Air Force","10/26/12","3","MILLER","CHRIS","3","0","","","","","","","","","",""
"721","Air Force","11/03/12","3","MILLER","CHRIS","5","3","","","","","","","","","",""
"721","Air Force","11/10/12","3","MILLER","CHRIS","4","2","","","","","","","","","",""
"721","Air Force","11/16/12","3","MILLER","CHRIS","3","1","","","","","","","1","","",""
"721","Air Force","11/24/12","3","MILLER","CHRIS","8","2","","","","","","","","","",""
"721","Air Force","12/29/12","3","MILLER","CHRIS","1","1","","","","","","","3","","",""
"721","Air Force","09/01/12","94","MILLER","CODY","1","0","","","","","","","","","",""
"721","Air Force","09/22/12","94","MILLER","CODY","2","1","","","","","","","","","",""
"721","Air Force","09/29/12","94","MILLER","CODY","1","0","","","","","","","","","",""
"721","Air Force","10/06/12","94","MILLER","CODY","2","0","","","","","","","","","",""
"721","Air Force","10/20/12","94","MILLER","CODY","0","4","","","","","","","","","",""
"721","Air Force","10/26/12","94","MILLER","CODY","0","1","","","","","","","","","",""
"721","Air Force","11/03/12","94","MILLER","CODY","6","5","","","","","","","","","",""
"721","Air Force","11/10/12","94","MILLER","CODY","2","1","","","","","","","","","",""
"721","Air Force","11/16/12","94","MILLER","CODY","0","2","","","","","","","","","",""
"721","Air Force","11/24/12","94","MILLER","CODY","1","0","","","","","","","","","",""
"721","Air Force","12/29/12","94","MILLER","CODY","2","0","1","0","4","","","","","","","1"
"721","Air Force","09/29/12","49","NICHOL","JOEY","0","2","","","","","","","","","",""
"721","Air Force","11/03/12","49","NICHOL","JOEY","0","1","","","","","","","","","",""
"721","Air Force","11/10/12","49","NICHOL","JOEY","7","0","2","0","2","","","","","","",""
"721","Air Force","11/16/12","49","NICHOL","JOEY","0","1","","","","","","","","","",""
"721","Air Force","11/24/12","49","NICHOL","JOEY","1","0","","","","","","","","","",""
"721","Air Force","09/01/12","42","NIKLAS","AUSTIN","4","7","0","1","1","","","","","1","",""
"721","Air Force","09/22/12","42","NIKLAS","AUSTIN","9","7","1","1","2","","","","1","","",""
"721","Air Force","09/29/12","42","NIKLAS","AUSTIN","6","2","","","","","","","","2","",""
"721","Air Force","10/06/12","42","NIKLAS","AUSTIN","4","9","","","","","","","","","",""
"721","Air Force","10/13/12","42","NIKLAS","AUSTIN","10","4","1","0","5","","","","","","",""
"721","Air Force","10/20/12","42","NIKLAS","AUSTIN","5","4","","","","","","","","","",""
"721","Air Force","10/26/12","42","NIKLAS","AUSTIN","1","3","1","0","2","","","","","","",""
"721","Air Force","11/03/12","42","NIKLAS","AUSTIN","10","7","","","","","","","","","",""
"721","Air Force","11/10/12","42","NIKLAS","AUSTIN","5","1","2","0","10","1","0","8","","","",""
"721","Air Force","11/16/12","42","NIKLAS","AUSTIN","3","6","","","","","","","","","",""
"721","Air Force","11/24/12","42","NIKLAS","AUSTIN","6","1","","","","","","","","","",""
"721","Air Force","12/29/12","42","NIKLAS","AUSTIN","11","3","2","0","9","","","","","","",""
"721","Air Force","09/01/12","36","PROCTOR","SPENCER","0","1","","","","","","","","","",""
"721","Air Force","09/29/12","36","PROCTOR","SPENCER","0","2","","","","","","","","","",""
"721","Air Force","11/16/12","36","PROCTOR","SPENCER","0","1","","","","","","","","","",""
"721","Air Force","11/24/12","36","PROCTOR","SPENCER","1","0","","","","","","","","","",""
"721","Air Force","09/01/12","21","SPEARS","CHRISTIAN","0","2","","","","","","","","","",""
"721","Air Force","09/08/12","21","SPEARS","CHRISTIAN","2","0","","","","","","","","","",""
"721","Air Force","09/22/12","21","SPEARS","CHRISTIAN","2","0","","","","","","","1","","",""
"721","Air Force","09/29/12","21","SPEARS","CHRISTIAN","1","7","","","","","","","1","","",""
"721","Air Force","10/06/12","21","SPEARS","CHRISTIAN","7","5","","","","","","","","","",""
"721","Air Force","10/13/12","21","SPEARS","CHRISTIAN","2","6","","","","","","","","1","",""
"721","Air Force","10/20/12","21","SPEARS","CHRISTIAN","12","8","1","0","2","","","","","","",""
"721","Air Force","10/26/12","21","SPEARS","CHRISTIAN","4","5","1","1","5","","","","","","",""
"721","Air Force","11/03/12","21","SPEARS","CHRISTIAN","7","5","","","","","","","","","",""
"721","Air Force","11/10/12","21","SPEARS","CHRISTIAN","4","1","","","","","","","","1","",""
"721","Air Force","11/16/12","21","SPEARS","CHRISTIAN","0","2","","","","","","","","","",""
"721","Air Force","11/24/12","21","SPEARS","CHRISTIAN","2","2","","","","","","","","","",""
"721","Air Force","12/29/12","21","SPEARS","CHRISTIAN","5","0","","","","","","","","","",""
"721","Air Force","09/29/12","20","STRICKLAND","DONTAE","1","0","","","","","","","","","",""
"721","Air Force","10/26/12","20","STRICKLAND","DONTAE","1","0","","","","","","","","","",""
"721","Air Force","09/01/12","55","SUMPTER","STEVEN","2","0","","","","","","","","","",""
"721","Air Force","09/22/12","55","SUMPTER","STEVEN","0","1","","","","","","","","","",""
"721","Air Force","10/06/12","55","SUMPTER","STEVEN","0","1","","","","","","","","","",""
"721","Air Force","11/10/12","55","SUMPTER","STEVEN","2","0","","","","","","","","","",""
"721","Air Force","09/29/12","5","WALKER","","1","0","","","","","","","","","",""
"721","Air Force","10/13/12","5","WALKER","","1","0","","","","","","","","","",""
"721","Air Force","10/26/12","5","WALKER","","1","1","","","","","","","","1","",""
"721","Air Force","11/10/12","5","WALKER","","1","1","","","","","","","","","",""
"721","Air Force","11/16/12","5","WALKER","","1","2","","","","","","","","","",""
"721","Air Force","12/29/12","5","WALKER","","2","0","","","","","","","","","",""
"5","Akron","09/15/12","21","ALEXANDER","BILL","0","1","","","","","","","","","",""
"5","Akron","09/22/12","21","ALEXANDER","BILL","5","3","","","","","","","1","","",""
"5","Akron","09/29/12","21","ALEXANDER","BILL","4","3","","","","","","","","","",""
"5","Akron","10/06/12","21","ALEXANDER","BILL","1","1","","","","","","","","","",""
"5","Akron","10/13/12","21","ALEXANDER","BILL","0","1","","","","","","","","","",""
"5","Akron","10/20/12","21","ALEXANDER","BILL","2","1","","","","","","","","","",""
"5","Akron","10/27/12","21","ALEXANDER","BILL","2","0","","","","","","","","","",""
"5","Akron","09/08/12","2","ALEXANDER","BRODERICK","0","1","","","","","","","","","",""
"5","Akron","10/06/12","2","ALEXANDER","BRODERICK","0","1","","","","","","","","","",""
"5","Akron","11/20/12","2","ALEXANDER","BRODERICK","0","1","","","","","","","","","",""
"5","Akron","10/20/12","40","BAILEY","AUSTIN","1","0","","","","","","","","","",""
"5","Akron","08/30/12","25","BLAKE","MICKLOS","1","2","","","","","","","","","",""
"5","Akron","09/08/12","25","BLAKE","MICKLOS","3","0","","","","","","","1","","",""
"5","Akron","09/15/12","25","BLAKE","MICKLOS","1","0","","","","","","","","","",""
"5","Akron","09/22/12","25","BLAKE","MICKLOS","0","1","","","","","","","","","",""
"5","Akron","09/29/12","25","BLAKE","MICKLOS","1","1","","","","","","","2","","",""
"5","Akron","10/06/12","25","BLAKE","MICKLOS","1","0","","","","","","","","","",""
"5","Akron","10/13/12","25","BLAKE","MICKLOS","1","1","","","","","","","","","",""
"5","Akron","10/20/12","25","BLAKE","MICKLOS","1","0","","","","","","","","","",""
"5","Akron","10/27/12","25","BLAKE","MICKLOS","1","0","","","","","","","","","",""
"5","Akron","11/03/12","25","BLAKE","MICKLOS","1","0","","","","","","","","","",""
"5","Akron","11/10/12","25","BLAKE","MICKLOS","1","1","0","1","1","0","1","1","","","",""
"5","Akron","11/20/12","25","BLAKE","MICKLOS","2","1","","","","","","","","","",""
"5","Akron","09/08/12","53","BROWN","JATAVIS","0","1","","","","","","","","","",""
"5","Akron","09/15/12","53","BROWN","JATAVIS","0","1","","","","","","","","","",""
"5","Akron","09/22/12","53","BROWN","JATAVIS","1","0","","","","","","","","","",""
"5","Akron","09/29/12","53","BROWN","JATAVIS","1","0","","","","","","","","","",""
"5","Akron","10/13/12","53","BROWN","JATAVIS","2","3","0","1","1","","","","","","",""
"5","Akron","10/20/12","53","BROWN","JATAVIS","5","2","","","","","","","","1","",""
"5","Akron","10/27/12","53","BROWN","JATAVIS","1","3","","","","","","","","","",""
"5","Akron","11/03/12","53","BROWN","JATAVIS","3","0","","","","","","","","","",""
"5","Akron","08/30/12","58","CAPONI","NICO","1","3","","","","","","","","","",""
"5","Akron","09/08/12","58","CAPONI","NICO","2","1","","","","","","","","","",""
"5","Akron","09/15/12","58","CAPONI","NICO","4","1","1","0","2","","","","","","",""
"5","Akron","09/22/12","58","CAPONI","NICO","3","2","","","","","","","","","",""
"5","Akron","09/29/12","58","CAPONI","NICO","1","1","","","","","","","","","",""
"5","Akron","10/06/12","58","CAPONI","NICO","0","1","","","","","","","1","","",""
"5","Akron","11/03/12","58","CAPONI","NICO","1","1","","","","","","","","","",""
"5","Akron","11/10/12","58","CAPONI","NICO","3","1","1","0","1","1","0","1","","","",""
"5","Akron","11/20/12","58","CAPONI","NICO","2","1","1","0","8","1","0","8","","","",""
"5","Akron","08/30/12","29","CHEEK","BRYCE","1","1","","","","","","","","","",""
"5","Akron","09/15/12","29","CHEEK","BRYCE","1","1","","","","","","","","","",""
"5","Akron","09/22/12","29","CHEEK","BRYCE","1","0","","","","","","","","","",""
"5","Akron","10/06/12","29","CHEEK","BRYCE","1","0","","","","","","","","","",""
"5","Akron","10/13/12","29","CHEEK","BRYCE","1","0","","","","","","","","","",""
"5","Akron","10/20/12","29","CHEEK","BRYCE","1","0","","","","","","","","","",""
"5","Akron","08/30/12","9","COMMACK","AVIS","2","0","","","","","","","","","",""
"5","Akron","09/08/12","9","COMMACK","AVIS","2","0","","","","","","","1","","",""
"5","Akron","09/15/12","9","COMMACK","AVIS","2","1","","","","","","","","","",""
"5","Akron","09/22/12","9","COMMACK","AVIS","6","2","","","","","","","","","",""
"5","Akron","09/29/12","9","COMMACK","AVIS","1","3","","","","","","","","","",""
"5","Akron","10/06/12","9","COMMACK","AVIS","3","3","1","0","6","","","","1","","1",""
"5","Akron","10/13/12","9","COMMACK","AVIS","1","4","","","","","","","1","","",""
"5","Akron","10/20/12","9","COMMACK","AVIS","1","3","","","","","","","","","",""
"5","Akron","10/27/12","9","COMMACK","AVIS","2","1","","","","","","","","","",""
"5","Akron","11/03/12","9","COMMACK","AVIS","3","1","","","","","","","","","",""
"5","Akron","11/10/12","9","COMMACK","AVIS","2","0","","","","","","","","","",""
"5","Akron","11/20/12","9","COMMACK","AVIS","0","1","","","","","","","","","",""
"5","Akron","08/30/12","37","CUNNINGHAM","SETH","1","2","","","","","","","","","",""
"5","Akron","09/29/12","37","CUNNINGHAM","SETH","1","1","","","","","","","","","",""
"5","Akron","10/06/12","37","CUNNINGHAM","SETH","2","0","","","","","","","","","",""
"5","Akron","10/20/12","37","CUNNINGHAM","SETH","1","0","","","","","","","1","","",""
"5","Akron","10/27/12","37","CUNNINGHAM","SETH","0","1","","","","","","","","","",""
"5","Akron","09/08/12","11","D'ORAZIO","ZACH","0","1","","","","","","","","","",""
"5","Akron","09/08/12","12","DAVIS","IMANI","0","2","","","","","","","","","",""
"5","Akron","09/22/12","12","DAVIS","IMANI","1","0","","","","","","","","","",""
"5","Akron","08/30/12","79","DAVIS","MIKE","0","1","","","","","","","","","",""
"5","Akron","09/15/12","79","DAVIS","MIKE","2","0","","","","","","","","","",""
"5","Akron","10/20/12","34","DURANT","MARTEL","0","1","","","","","","","","","",""
"5","Akron","11/10/12","34","DURANT","MARTEL","1","0","","","","","","","","","",""
"5","Akron","08/30/12","54","EVANS","DYLAN","1","2","","","","","","","","","",""
"5","Akron","09/08/12","54","EVANS","DYLAN","0","2","","","","","","","","","",""
"5","Akron","09/15/12","54","EVANS","DYLAN","3","1","","","","","","","","","",""
"5","Akron","09/22/12","54","EVANS","DYLAN","3","1","","","","","","","","","",""
"5","Akron","09/29/12","54","EVANS","DYLAN","2","0","","","","","","","","","",""
"5","Akron","10/06/12","54","EVANS","DYLAN","1","2","","","","","","","","","",""
"5","Akron","10/13/12","54","EVANS","DYLAN","1","0","","","","","","","","","",""
"5","Akron","10/20/12","54","EVANS","DYLAN","2","1","","","","","","","","","",""
"5","Akron","11/10/12","54","EVANS","DYLAN","1","0","","","","","","","","","",""
"5","Akron","09/08/12","18","FLEMING","WILL","0","1","","","","","","","","","",""
"5","Akron","10/20/12","18","FLEMING","WILL","0","1","","","","","","","","","",""
"5","Akron","08/30/12","23","FORD","BRE'","2","0","","","","","","","","","",""
"5","Akron","09/08/12","23","FORD","BRE'","1","0","","","","","","","1","1","",""
"5","Akron","09/15/12","23","FORD","BRE'","0","1","","","","","","","","","",""
