Year,Team,Player,Targets,Catches,Yards,CatchRate,YdsPerTarget,Target %,YdsPerCatch,Standard Targets,Standard Catches,Standard Yards,Standard CatchRate,Standard YdsPerTarget,Standard Target %,Standard YdsPerCatch,Passing Targets,Passing Catches,Passing Yards,Passing CatchRate,Passing YdsPerTarget,Passing Target %,Passing YdsPerCatch
2007,Texas Tech,Danny Amendola,145,109,1245,75.2%,8.6,19.6%,11.4,98,74,861,75.5%,8.8,19.5%,11.6,47,35,384,74.5%,8.2,19.8%,11.0
2010,Western Michigan,Jordan White,144,94,1378,65.3%,9.6,31.6%,14.7,89,62,897,69.7%,10.1,30.0%,14.5,55,32,481,58.2%,8.7,34.6%,15.0
2011,Illinois,A.J. Jenkins,144,90,1276,62.5%,8.9,42.1%,14.2,85,51,655,60.0%,7.7,40.9%,12.8,59,39,621,66.1%,10.5,44.0%,15.9
2011,Notre Dame,Michael Floyd,144,100,1147,69.4%,8.0,31.9%,11.5,94,68,735,72.3%,7.8,33.1%,10.8,50,32,412,64.0%,8.2,29.9%,12.9
2007,Central Michigan,Bryan Anderson,144,90,1135,62.5%,7.9,27.1%,12.6,103,64,748,62.1%,7.3,30.4%,11.7,41,26,387,63.4%,9.4,21.2%,14.9
2009,SMU,Emmanuel Sanders,142,98,1339,69.0%,9.4,31.6%,13.7,101,73,1046,72.3%,10.4,34.7%,14.3,41,25,293,61.0%,7.1,25.9%,11.7
2008,Rice,James Casey,142,111,1303,78.2%,9.2,28.2%,11.7,100,81,874,81.0%,8.7,30.2%,10.8,42,30,429,71.4%,10.2,24.4%,14.3
2009,Central Michigan,Antonio Brown,142,110,1198,77.5%,8.4,31.8%,10.9,103,84,823,81.6%,8.0,36.4%,9.8,39,26,375,66.7%,9.6,23.8%,14.4
2006,Miami-OH,Ryne Robinson,142,91,1178,64.1%,8.3,36.3%,12.9,73,50,650,68.5%,8.9,36.7%,13.0,69,41,528,59.4%,7.7,35.9%,12.9
2007,Michigan,Mario Manningham,142,72,1174,50.7%,8.3,35.8%,16.3,75,38,532,50.7%,7.1,37.5%,14.0,67,34,642,50.7%,9.6,34.0%,18.9
2006,Purdue,Dorien Bryant,142,87,1071,61.3%,7.5,27.5%,12.3,89,60,745,67.4%,8.4,26.4%,12.4,53,27,326,50.9%,6.2,29.6%,12.1
2007,Hawaii,Ryan Grice-Mullen,141,106,1372,75.2%,9.7,22.2%,12.9,92,73,978,79.3%,10.6,20.7%,13.4,49,33,394,67.3%,8.0,25.7%,11.9
2009,Kansas,Dezmon Briscoe,141,84,1337,59.6%,9.5,28.8%,15.9,88,54,676,61.4%,7.7,27.4%,12.5,53,30,661,56.6%,12.5,31.4%,22.0
2007,New Mexico,Marcus Smith,141,91,1125,64.5%,8.0,34.6%,12.4,87,55,610,63.2%,7.0,39.2%,11.1,54,36,515,66.7%,9.5,29.2%,14.3
2005,Oregon State,Mike Hass,140,90,1532,64.3%,10.9,32.9%,17.0,95,65,1133,68.4%,11.9,38.2%,17.4,45,25,399,55.6%,8.9,25.6%,16.0
2008,Kansas,Dezmon Briscoe,140,92,1401,65.7%,10.0,29.1%,15.2,83,62,893,74.7%,10.8,28.4%,14.4,57,30,508,52.6%,8.9,30.2%,16.9
2005,Tulsa,Garrett Mills,140,87,1247,62.1%,8.9,36.0%,14.3,74,48,682,64.9%,9.2,34.4%,14.2,66,39,565,59.1%,8.6,37.9%,14.5
2010,Toledo,Eric Page,140,99,1105,70.7%,7.9,40.0%,11.2,82,58,550,70.7%,6.7,42.1%,9.5,58,41,555,70.7%,9.6,37.4%,13.5
2007,Purdue,Dorien Bryant,140,89,956,63.6%,6.8,24.4%,10.7,82,57,585,69.5%,7.1,24.1%,10.3,58,32,371,55.2%,6.4,24.8%,11.6
2011,Iowa,"Marvin McNutt, Jr.",139,82,1315,59.0%,9.5,34.7%,16.0,83,50,764,60.2%,9.2,33.7%,15.3,56,32,551,57.1%,9.8,36.1%,17.2
2005,Western Michigan,Greg Jennings,139,98,1259,70.5%,9.1,38.3%,12.8,88,64,862,72.7%,9.8,42.5%,13.5,51,34,397,66.7%,7.8,32.7%,11.7
2010,East Carolina,Lance Lewis,139,89,1124,64.0%,8.1,23.2%,12.6,95,61,746,64.2%,7.9,24.7%,12.2,44,28,378,63.6%,8.6,20.5%,13.5
2011,Hawaii,Billy Ray Stutzmann,139,78,910,56.1%,6.5,24.0%,11.7,96,56,644,58.3%,6.7,26.6%,11.5,43,22,266,51.2%,6.2,19.6%,12.1
2011,Houston,Patrick Edwards,138,88,1747,63.8%,12.7,20.7%,19.9,99,64,1264,64.6%,12.8,21.5%,19.8,39,24,483,61.5%,12.4,18.9%,20.1
2006,Hawaii,Davone Bess,138,96,1220,69.6%,8.8,23.1%,12.7,99,71,873,71.7%,8.8,22.9%,12.3,39,25,347,64.1%,8.9,23.6%,13.9
2006,Georgia Tech,Calvin Johnson,138,76,1202,55.1%,8.7,40.2%,15.8,95,53,857,55.8%,9.0,44.2%,16.2,43,23,345,53.5%,8.0,33.6%,15.0
2010,East Carolina,Dwayne Harris,138,101,1123,73.2%,8.1,23.0%,11.1,86,63,622,73.3%,7.2,22.3%,9.9,52,38,501,73.1%,9.6,24.2%,13.2
2005,Akron,Domenik Hixon,137,75,1210,54.7%,8.8,27.1%,16.1,75,41,716,54.7%,9.5,27.8%,17.5,62,34,494,54.8%,8.0,26.3%,14.5
2007,Central Michigan,Antonio Brown,137,102,1002,74.5%,7.3,25.8%,9.8,84,65,657,77.4%,7.8,24.8%,10.1,53,37,345,69.8%,6.5,27.5%,9.3
2008,Rutgers,Kenny Britt,136,87,1371,64.0%,10.1,35.0%,15.8,85,54,800,63.5%,9.4,36.0%,14.8,51,33,571,64.7%,11.2,33.3%,17.3
2011,Wake Forest,Chris Givens,135,83,1330,61.5%,9.9,31.2%,16.0,77,49,812,63.6%,10.5,31.7%,16.6,58,34,518,58.6%,8.9,30.5%,15.2
2005,Purdue,Dorien Bryant,135,80,960,59.3%,7.1,33.3%,12.0,89,53,651,59.6%,7.3,34.0%,12.3,46,27,309,58.7%,6.7,32.2%,11.4
2011,Houston,Tyron Carrier,135,96,958,71.1%,7.1,20.2%,10.0,96,67,663,69.8%,6.9,20.8%,9.9,39,29,295,74.4%,7.6,18.9%,10.2
2009,Notre Dame,Golden Tate,134,93,1496,69.4%,11.2,30.7%,16.1,86,65,1083,75.6%,12.6,29.8%,16.7,48,28,413,58.3%,8.6,32.4%,14.8
2008,Missouri,Jeremy Maclin,134,101,1263,75.4%,9.4,25.4%,12.5,93,74,925,79.6%,9.9,25.9%,12.5,41,27,338,65.9%,8.2,24.4%,12.5
2005,Arizona State,Derek Hagan,134,77,1210,57.5%,9.0,28.1%,15.7,69,40,680,58.0%,9.9,24.6%,17.0,65,37,530,56.9%,8.2,33.0%,14.3
2007,Arizona,Michael Thomas,134,83,1032,61.9%,7.7,26.9%,12.4,77,50,574,64.9%,7.5,26.5%,11.5,57,33,458,57.9%,8.0,27.4%,13.9
2010,Indiana,Damarlo Belcher,134,78,832,58.2%,6.2,27.0%,10.7,74,46,441,62.2%,6.0,26.8%,9.6,60,32,391,53.3%,6.5,27.3%,12.2
2005,San Diego State,Jeffrey Webb,133,92,1109,69.2%,8.3,34.9%,12.1,77,52,592,67.5%,7.7,35.6%,11.4,56,40,517,71.4%,9.2,33.9%,12.9
2005,East Carolina,Aundrae Allison,133,83,1024,62.4%,7.7,38.2%,12.3,78,47,531,60.3%,6.8,39.6%,11.3,55,36,493,65.5%,9.0,36.4%,13.7
2010,South Carolina,Alshon Jeffery,132,88,1517,66.7%,11.5,36.1%,17.2,78,53,880,67.9%,11.3,39.0%,16.6,54,35,637,64.8%,11.8,32.5%,18.2
2011,Nevada,Rishard Matthews,132,91,1364,68.9%,10.3,33.7%,15.0,82,58,722,70.7%,8.8,36.9%,12.4,50,33,642,66.0%,12.8,29.4%,19.5
2007,Hawaii,Jason Rivers,132,92,1174,69.7%,8.9,20.8%,12.8,93,66,816,71.0%,8.8,20.9%,12.4,39,26,358,66.7%,9.2,20.4%,13.8
2005,Georgia Tech,Calvin Johnson,132,54,888,40.9%,6.7,33.6%,16.4,75,32,477,42.7%,6.4,35.7%,14.9,57,22,411,38.6%,7.2,31.1%,18.7
2007,Houston,Donnie Avery,131,91,1455,69.5%,11.1,29.5%,16.0,70,47,680,67.1%,9.7,29.2%,14.5,61,44,775,72.1%,12.7,29.9%,17.6
2006,Central Florida,Mike Walker,131,90,1178,68.7%,9.0,36.9%,13.1,72,50,590,69.4%,8.2,35.8%,11.8,59,40,588,67.8%,10.0,38.3%,14.7
2007,Clemson,Aaron Kelly,131,87,1079,66.4%,8.2,29.6%,12.4,66,40,478,60.6%,7.2,28.6%,12.0,65,47,601,72.3%,9.2,30.8%,12.8
2010,Miami-OH,Armand Robinson,131,94,1064,71.8%,8.1,28.0%,11.3,82,65,700,79.3%,8.5,29.8%,10.8,49,29,364,59.2%,7.4,25.4%,12.6
2008,Kansas,Kerry Meier,131,97,1045,74.0%,8.0,27.2%,10.8,82,64,527,78.0%,6.4,28.1%,8.2,49,33,518,67.3%,10.6,25.9%,15.7
2008,Central Michigan,Antonio Brown,131,93,998,71.0%,7.6,29.2%,10.7,87,68,576,78.2%,6.6,31.4%,8.5,44,25,422,56.8%,9.6,25.6%,16.9
2005,Vanderbilt,Earl Bennett,131,79,873,60.3%,6.7,29.2%,11.1,80,49,540,61.3%,6.8,28.8%,11.0,51,30,333,58.8%,6.5,30.0%,11.1
2008,Rice,Jarett Dillard,130,87,1310,66.9%,10.1,25.8%,15.1,91,58,855,63.7%,9.4,27.5%,14.7,39,29,455,74.4%,11.7,22.7%,15.7
2007,Michigan State,Devin Thomas,130,79,1260,60.8%,9.7,34.7%,15.9,68,41,689,60.3%,10.1,32.9%,16.8,62,38,571,61.3%,9.2,36.9%,15.0
2009,Cincinnati,Marshwan Gilyard,130,87,1191,66.9%,9.2,28.8%,13.7,90,59,786,65.6%,8.7,30.3%,13.3,40,28,405,70.0%,10.1,26.0%,14.5
2009,Tulsa,Damaris Johnson,130,78,1131,60.0%,8.7,36.0%,14.5,75,44,680,58.7%,9.1,35.4%,15.5,55,34,451,61.8%,8.2,36.9%,13.3
2010,Missouri,T.J. Moe,130,92,1045,70.8%,8.0,27.7%,11.4,82,62,695,75.6%,8.5,29.2%,11.2,48,30,350,62.5%,7.3,25.5%,11.7
2006,Notre Dame,Jeff Samardzija,130,78,1017,60.0%,7.8,28.7%,13.0,79,52,609,65.8%,7.7,27.3%,11.7,51,26,408,51.0%,8.0,31.1%,15.7
2011,Miami-OH,Nick Harwell,129,97,1425,75.2%,11.0,30.7%,14.7,81,61,893,75.3%,11.0,33.5%,14.6,48,36,532,75.0%,11.1,27.0%,14.8
2005,Notre Dame,Jeff Samardzija,129,77,1249,59.7%,9.7,29.2%,16.2,79,49,682,62.0%,8.6,29.3%,13.9,50,28,567,56.0%,11.3,29.1%,20.3
2008,UNLV,Ryan Wolfe,129,87,1031,67.4%,8.0,36.1%,11.9,78,56,704,71.8%,9.0,35.3%,12.6,51,31,327,60.8%,6.4,37.5%,10.5
2010,Notre Dame,Michael Floyd,129,79,1019,61.2%,7.9,27.6%,12.9,84,52,637,61.9%,7.6,30.4%,12.3,45,27,382,60.0%,8.5,23.4%,14.1
2006,Eastern Michigan,Eric Deslauriers,129,74,898,57.4%,7.0,37.1%,12.1,62,40,537,64.5%,8.7,32.8%,13.4,67,34,361,50.7%,5.4,42.1%,10.6
2011,Texas A&M,Ryan Swope,128,89,1207,69.5%,9.4,25.1%,13.6,70,52,609,74.3%,8.7,24.1%,11.7,58,37,598,63.8%,10.3,26.5%,16.2
2007,New Mexico,Travis Brown,128,76,1031,59.4%,8.1,31.4%,13.6,69,42,609,60.9%,8.8,31.1%,14.5,59,34,422,57.6%,7.2,31.9%,12.4
2007,Bowling Green,Freddie Barnes,128,81,953,63.3%,7.4,26.3%,11.8,70,47,499,67.1%,7.1,23.7%,10.6,58,34,454,58.6%,7.8,30.4%,13.4
2007,North Texas,Brandon Jackson,128,79,784,61.7%,6.1,25.3%,9.9,73,49,494,67.1%,6.8,24.6%,10.1,55,30,290,54.5%,5.3,26.3%,9.7
2011,West Virginia,Tavon Austin,127,100,1180,78.7%,9.3,24.6%,11.8,83,66,744,79.5%,9.0,25.9%,11.3,44,34,436,77.3%,9.9,22.4%,12.8
2011,SMU,Darius Johnson,127,79,1118,62.2%,8.8,28.3%,14.2,80,52,752,65.0%,9.4,28.5%,14.5,47,27,366,57.4%,7.8,28.0%,13.6
2011,Bowling Green,Kamar Jorden,127,78,1089,61.4%,8.6,30.8%,14.0,68,45,699,66.2%,10.3,30.6%,15.5,59,33,390,55.9%,6.6,30.9%,11.8
2010,SMU,Cole Beasley,127,87,1060,68.5%,8.3,26.0%,12.2,78,55,595,70.5%,7.6,24.8%,10.8,49,32,465,65.3%,9.5,28.2%,14.5
2009,Oregon State,James Rodgers,127,91,1034,71.7%,8.1,27.5%,11.4,82,62,690,75.6%,8.4,34.2%,11.1,45,29,344,64.4%,7.6,20.4%,11.9
2007,Wake Forest,Kenneth Moore,127,98,1012,77.2%,8.0,34.7%,10.3,68,54,549,79.4%,8.1,32.9%,10.2,59,44,463,74.6%,7.8,37.1%,10.5
2011,Hawaii,Royce Pollard,127,71,1011,55.9%,8.0,21.9%,14.2,81,43,662,53.1%,8.2,22.4%,15.4,46,28,349,60.9%,7.6,21.0%,12.5
2007,Alabama,Dj Hall,127,67,1005,52.8%,7.9,27.7%,15.0,79,44,744,55.7%,9.4,29.8%,16.9,48,23,261,47.9%,5.4,24.7%,11.3
2007,South Carolina,Kenny McKinley,127,77,968,60.6%,7.6,30.4%,12.6,80,53,699,66.3%,8.7,32.7%,13.2,47,24,269,51.1%,5.7,27.2%,11.2
2008,Eastern Michigan,Jacory Stone,127,87,931,68.5%,7.3,26.8%,10.7,80,54,605,67.5%,7.6,27.8%,11.2,47,33,326,70.2%,6.9,25.3%,9.9
2006,Notre Dame,Rhema McKnight,127,67,907,52.8%,7.1,28.0%,13.5,89,48,617,53.9%,6.9,30.8%,12.9,38,19,290,50.0%,7.6,23.2%,15.3
2008,Oklahoma State,Dez Bryant,126,87,1480,69.0%,11.7,40.9%,17.0,79,54,977,68.4%,12.4,41.6%,18.1,47,33,503,70.2%,10.7,39.8%,15.2
2009,Utah,David Reed,126,81,1174,64.3%,9.3,33.9%,14.5,78,57,902,73.1%,11.6,37.1%,15.8,48,24,272,50.0%,5.7,29.6%,11.3
2009,Purdue,Keith Smith,126,91,1100,72.2%,8.7,29.9%,12.1,79,61,635,77.2%,8.0,31.5%,10.4,47,30,465,63.8%,9.9,27.5%,15.5
2008,Minnesota,Eric Decker,126,84,1074,66.7%,8.5,33.2%,12.8,82,59,707,72.0%,8.6,35.8%,12.0,44,25,367,56.8%,8.3,29.1%,14.7
2005,Michigan,Jason Avant,126,82,1065,65.1%,8.5,32.6%,13.0,76,49,616,64.5%,8.1,34.7%,12.6,50,33,449,66.0%,9.0,29.8%,13.6
2009,Houston,Tyron Carrier,126,89,1019,70.6%,8.1,17.6%,11.4,82,58,585,70.7%,7.1,16.4%,10.1,44,31,434,70.5%,9.9,20.5%,14.0
2007,Kentucky,Keenan Burton,126,65,729,51.6%,5.8,24.8%,11.2,81,42,435,51.9%,5.4,26.6%,10.4,45,23,294,51.1%,6.5,22.0%,12.8
2011,Louisiana Tech,Quinton Patton,125,78,1177,62.4%,9.4,28.0%,15.1,76,46,721,60.5%,9.5,28.3%,15.7,49,32,456,65.3%,9.3,27.7%,14.3
2006,Vanderbilt,Earl Bennett,125,82,1146,65.6%,9.2,39.6%,14.0,70,47,723,67.1%,10.3,37.8%,15.4,55,35,423,63.6%,7.7,42.0%,12.1
2010,Cincinnati,Armon Binns,125,75,1101,60.0%,8.8,30.7%,14.7,75,45,680,60.0%,9.1,30.9%,15.1,50,30,421,60.0%,8.4,30.5%,14.0
2010,Missouri,Michael Egnew,125,89,775,71.2%,6.2,26.7%,8.7,77,58,493,75.3%,6.4,27.4%,8.5,48,31,282,64.6%,5.9,25.5%,9.1
2010,SMU,Aldrick Robinson,124,65,1308,52.4%,10.5,25.4%,20.1,76,37,851,48.7%,11.2,24.2%,23.0,48,28,457,58.3%,9.5,27.6%,16.3
2010,Hawaii,Kealoha Pilares,124,88,1306,71.0%,10.5,21.0%,14.8,88,65,848,73.9%,9.6,21.5%,13.0,36,23,458,63.9%,12.7,19.8%,19.9
2011,Clemson,Sammy Watkins,124,84,1225,67.7%,9.9,24.8%,14.6,77,51,674,66.2%,8.8,26.8%,13.2,47,33,551,70.2%,11.7,22.2%,16.7
2009,Tulane,Jeremy Williams,124,84,1113,67.7%,9.0,35.4%,13.3,72,51,704,70.8%,9.8,37.3%,13.8,52,33,409,63.5%,7.9,33.1%,12.4
2009,Toledo,Stephen Williams,124,79,1065,63.7%,8.6,30.2%,13.5,73,54,669,74.0%,9.2,29.2%,12.4,51,25,396,49.0%,7.8,31.7%,15.8
2011,San Jose State,Noel Grigsby,124,89,886,71.8%,7.1,27.4%,10.0,76,61,608,80.3%,8.0,29.1%,10.0,48,28,278,58.3%,5.8,25.1%,9.9
2009,Wyoming,David Leonard,124,77,768,62.1%,6.2,31.6%,10.0,63,45,449,71.4%,7.1,30.4%,10.0,61,32,319,52.5%,5.2,32.8%,10.0
2008,Cincinnati,Marshwan Gilyard,123,81,1271,65.9%,10.3,27.6%,15.7,69,49,700,71.0%,10.1,25.1%,14.3,54,32,571,59.3%,10.6,31.6%,17.8
2009,Toledo,Eric Page,123,82,1159,66.7%,9.4,29.9%,14.1,70,42,561,60.0%,8.0,28.0%,13.4,53,40,598,75.5%,11.3,32.9%,15.0
2009,Oklahoma,Ryan Broyles,123,89,1121,72.4%,9.1,25.3%,12.6,72,56,596,77.8%,8.3,27.5%,10.6,51,33,525,64.7%,10.3,22.7%,15.9
2006,Kentucky,Keenan Burton,123,77,1036,62.6%,8.4,29.3%,13.5,78,45,662,57.7%,8.5,29.9%,14.7,45,32,374,71.1%,8.3,28.3%,11.7
2008,Cincinnati,Dominick Goodman,123,84,1021,68.3%,8.3,27.6%,12.2,78,48,574,61.5%,7.4,28.4%,12.0,45,36,447,80.0%,9.9,26.3%,12.4
2009,Northwestern,Zeke Markshausen,123,91,858,74.0%,7.0,24.6%,9.4,73,52,458,71.2%,6.3,23.5%,8.8,50,39,400,78.0%,8.0,26.6%,10.3
2011,Texas A&M,Jeff Fuller,123,70,828,56.9%,6.7,24.1%,11.8,84,49,552,58.3%,6.6,28.9%,11.3,39,21,276,53.8%,7.1,17.8%,13.1
2011,Washington State,Marquess Wilson,122,81,1383,66.4%,11.3,25.8%,17.1,73,51,888,69.9%,12.2,25.9%,17.4,49,30,495,61.2%,10.1,25.7%,16.5
2011,Michigan State,B.J. Cunningham,122,79,1299,64.8%,10.6,28.1%,16.4,70,39,703,55.7%,10.0,27.8%,18.0,52,40,596,76.9%,11.5,28.6%,14.9
2010,Kentucky,Randall Cobb,122,84,1023,68.9%,8.4,28.0%,12.2,72,50,565,69.4%,7.8,28.0%,11.3,50,34,458,68.0%,9.2,28.1%,13.5
2005,Idaho,Daniel Smith,122,67,1001,54.9%,8.2,31.1%,14.9,75,44,644,58.7%,8.6,34.7%,14.6,47,23,357,48.9%,7.6,26.7%,15.5
2009,Indiana,Tandon Doss,122,77,964,63.1%,7.9,29.4%,12.5,66,44,545,66.7%,8.3,31.6%,12.4,56,33,419,58.9%,7.5,27.2%,12.7
2007,Ball State,Darius Hill,122,65,926,53.3%,7.6,26.0%,14.2,74,45,643,60.8%,8.7,26.8%,14.3,48,20,283,41.7%,5.9,24.9%,14.2
2007,Minnesota,Eric Decker,122,67,909,54.9%,7.5,28.9%,13.6,67,40,523,59.7%,7.8,29.5%,13.1,55,27,386,49.1%,7.0,28.2%,14.3
2011,California,Marvin Jones,122,62,846,50.8%,6.9,29.4%,13.6,71,32,409,45.1%,5.8,30.0%,12.8,51,30,437,58.8%,8.6,28.7%,14.6
2008,Toledo,Stephen Williams,122,71,781,58.2%,6.4,33.2%,11.0,78,45,531,57.7%,6.8,35.1%,11.8,44,26,250,59.1%,5.7,30.3%,9.6
2010,Arizona,Juron Criner,121,83,1258,68.6%,10.4,24.0%,15.2,72,55,870,76.4%,12.1,24.7%,15.8,49,28,388,57.1%,7.9,23.1%,13.9
2007,San Jose State,Kevin Jurovich,121,85,1184,70.2%,9.8,28.8%,13.9,77,54,728,70.1%,9.5,31.2%,13.5,44,31,456,70.5%,10.4,25.4%,14.7
2009,Ole Miss,Shay Hodge,121,70,1135,57.9%,9.4,36.2%,16.2,68,42,586,61.8%,8.6,38.9%,14.0,53,28,549,52.8%,10.4,33.3%,19.6
2011,Oregon State,Markus Wheaton,121,73,986,60.3%,8.1,25.5%,13.5,69,41,539,59.4%,7.8,25.9%,13.1,52,32,447,61.5%,8.6,25.0%,14.0
2008,Houston,Mark Hafner,121,86,919,71.1%,7.6,21.0%,10.7,86,63,674,73.3%,7.8,21.3%,10.7,35,23,245,65.7%,7.0,20.1%,10.7
